population,side,profile,records,max_seq_length,mean_tokens,median_tokens,p95_tokens,max_tokens,truncated_records,truncated_share,tokens_lost_total,mean_headroom_when_fits
canonical_corpus,target,cleaned,13250,128,51.40966037735849,51.0,79.0,201,7,0.0005283018867924528,216,76.64713433512044
source_corpus,source,cleaned,71623,128,78.44566689471259,76.0,119.0,229,1889,0.026374209402007735,27478,51.29073335818969
review_pairs,source,cleaned,585,128,76.03931623931624,73.0,117.0,213,14,0.023931623931623933,419,53.96847635726795
review_pairs,target,cleaned,585,128,49.536752136752135,49.0,77.0,115,0,0.0,0,78.46324786324786
review_pairs,source,legacy,585,128,100.63418803418803,96.0,153.0,228,112,0.19145299145299147,2207,38.51162790697674
review_pairs,target,legacy,585,128,54.81196581196581,54.0,83.0,121,0,0.0,0,73.1880341880342
review_pairs,target,legacy+evidence,585,128,114.85128205128206,104.0,216.5999999999999,446,162,0.27692307692307694,9104,39.70685579196218
review_pairs,source,legacy+evidence,585,128,100.63418803418803,96.0,153.0,228,112,0.19145299145299147,2207,38.51162790697674
